               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,             0.02626,            0.008156,           0.0016907,             0.99656,             0.98831,             0.99439,             0.74168,            0.020708,            0.004213,           0.0002525,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026322,           0.0081561,             0.00177,             0.98842,             0.98645,             0.99358,             0.71153,            0.022345,           0.0044425,           0.0013375,            0.008119,            0.008119,            0.008119
                  97,            0.026524,           0.0079015,           0.0017868,             0.98854,             0.99057,             0.99402,              0.7339,             0.02127,           0.0042111,          0.00042668,           0.0080992,           0.0080992,           0.0080992
                  98,            0.026487,           0.0082177,            0.001942,              0.9891,             0.99515,             0.99415,             0.72701,            0.021295,            0.004267,          0.00024657,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025459,           0.0080032,           0.0019415,             0.98929,             0.99104,             0.99326,             0.72218,            0.021211,           0.0041623,          0.00040858,           0.0080596,           0.0080596,           0.0080596
                 100,            0.025972,           0.0080487,           0.0018016,             0.99243,             0.99255,             0.99404,             0.73408,            0.021133,            0.004288,          0.00026335,           0.0080398,           0.0080398,           0.0080398
                 101,            0.026089,           0.0080096,           0.0015916,             0.99501,             0.99248,             0.99409,               0.751,            0.019913,           0.0041447,          0.00023053,             0.00802,             0.00802,             0.00802
                 102,            0.025335,           0.0079082,           0.0014663,             0.99323,             0.99285,              0.9944,             0.74073,            0.020439,           0.0042412,          0.00021867,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025939,           0.0079603,           0.0021399,              0.9924,             0.99662,             0.99365,             0.75136,            0.020069,            0.004093,          0.00022327,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025122,           0.0080584,           0.0018435,              0.9944,              0.9924,             0.99438,             0.73839,            0.020602,           0.0041779,           0.0004883,           0.0079606,           0.0079606,           0.0079606
                 105,            0.025506,           0.0079042,            0.001497,             0.99108,             0.99367,             0.99392,              0.7507,            0.020058,           0.0041084,            0.000313,           0.0079408,           0.0079408,           0.0079408
                 106,            0.025824,           0.0080968,           0.0019217,             0.99422,             0.99202,              0.9944,             0.73801,            0.020326,             0.00416,          0.00023279,            0.007921,            0.007921,            0.007921
