               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.021426,           0.0068824,           0.0013533,             0.99566,             0.99831,             0.99476,             0.81165,            0.016127,           0.0033762,          0.00022501,           0.0089407,           0.0089407,           0.0089407
                 109,            0.021812,           0.0067304,           0.0016136,             0.99741,             0.99912,             0.99482,              0.8097,            0.016077,           0.0033881,          0.00026367,           0.0089308,           0.0089308,           0.0089308
                 110,            0.021279,           0.0067496,           0.0017467,             0.99663,             0.99511,             0.99447,             0.80788,            0.015685,           0.0033719,          0.00043833,           0.0089209,           0.0089209,           0.0089209
                 111,            0.021589,           0.0067358,           0.0015831,             0.99824,             0.99664,             0.99484,             0.81283,            0.015671,           0.0033574,           0.0002098,            0.008911,            0.008911,            0.008911
                 112,            0.021518,           0.0066056,           0.0015236,             0.99587,             0.99296,             0.99476,             0.80112,            0.016004,           0.0034512,          0.00064792,           0.0089011,           0.0089011,           0.0089011
                 113,            0.021083,            0.006826,           0.0014298,             0.99742,              0.9956,             0.99487,               0.809,            0.015698,           0.0033866,           0.0002559,           0.0088912,           0.0088912,           0.0088912
                 114,            0.021008,           0.0068359,           0.0012053,             0.99751,             0.99756,             0.99493,             0.81965,             0.01549,           0.0033006,          0.00026507,           0.0088813,           0.0088813,           0.0088813
                 115,            0.021319,            0.006606,           0.0016962,             0.99689,             0.99737,             0.99448,             0.82212,            0.015191,           0.0032504,          0.00021493,           0.0088714,           0.0088714,           0.0088714
                 116,            0.021118,           0.0066477,            0.001722,             0.99831,             0.99798,             0.99464,             0.81618,            0.015352,           0.0033314,          0.00020705,           0.0088615,           0.0088615,           0.0088615
                 117,            0.020768,           0.0067167,           0.0013536,              0.9975,             0.99888,             0.99488,             0.81866,            0.015426,           0.0033479,           0.0002697,           0.0088516,           0.0088516,           0.0088516
